"Kermadec Sequence - Locatable Events",,,,,,,,,,,,
"From 2019/03/03 00:00:00 UTC to 2019/03/13 23:59:59 UTC",,,"P - S 30 sec @ GLKS",,,,,,,,,
"Date (UTC)","Arrival time on GLKZ","Event triggered autolocation Y/N","Artificial Event created by GHA","Event ID (if applicable)","Reached Mainland",MLv,mB,"Did USGS Locate Y/N","USGS Magnitude (mww)","Max Amplitude (Z) @ GLKZ","Max Amplitude (Z) @ HAZ",Comments
2019/03/07,10:51:23,No,No,N/A,Yes,4.08,4.47,No,N/A,,,"Two events overlapping. Mag picks made form p-phase only"
2019/03/07,10:52:16,No,No,N/A,Yes,N/A,N/A,No,N/A,,,"Second event, picks overlapping on mainland stations"
2019/03/07,10:58:14,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/07,11:20:38,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/07,11:50:13,No,Yes,2019p177007,Yes,3.65,4.43,No,N/A,,,
2019/03/07,12:14:25,No,No,N/A,Yes,4.37,4.36,No,N/A,,,
2019/03/07,12:16:41,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/07,12:35:34,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/07,13:03:21,Yes,N/A,2019p177149,Yes,5.15,5.01,Yes,"4.9 mb",,,
2019/03/07,13:16:06,No,Yes,2019p177168,Yes,4.34,4.33,No,N/A,,,
2019/03/07,13:17:54,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/07,13:22:37,No,Yes,2019p177180,Yes,N/A,4.53,No,N/A,,,
2019/03/07,13:26:50,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/07,13:34:17,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/07,14:06:57,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/07,14:11:08,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/07,14:12:09,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/07,14:16:39,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/07,14:55:59,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/07,15:27:04,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/07,15:28:20,Yes,N/A,2019p177418,Yes,5.79,5.75,Yes,5.5,,,
2019/03/07,15:35:10,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/07,15:39:12,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/07,15:47:56,No,No,N/A,Yes,4.26,N/A,No,N/A,,,
2019/03/07,15:50:01,No,No,N/A,Yes,4.24,N/A,No,N/A,,,
2019/03/07,15:57:56,Yes,N/A,2019p177474,Yes,4.17,4.97,No,N/A,,,
2019/03/07,16:00:10,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/07,16:22:42,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/07,16:29:55,Yes,N/A,2019p177534,Yes,5.87,5.7,Yes,5.7,,,
2019/03/07,16:44:56,Yes,N/A,2019p177563,Yes,4.92,4.94,No,N/A,,,
2019/03/07,17:00:53,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/07,17:37:53,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/07,17:57:28,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/07,18:11:31,Yes,N/A,2019p177725,Yes,4.42,4.59,No,N/A,,,
2019/03/07,18:31:16,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/07,18:33:55,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/07,18:44:03,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/07,18:52:21,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/07,18:53:32,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/07,19:00:31,Yes,N/A,2019p177822,Yes,4.81,4.62,No,N/A,,,
2019/03/07,19:04:00,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/07,19:50:57,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/07,20:00:41,Yes,N/A,2019p177929,Yes,4.99,4.99,No,N/A,,,
2019/03/07,20:32:17,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/07,20:40:31,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/07,21:01:39,Yes,N/A,2019p178049,Yes,4.77,N/A,No,N/A,,,
2019/03/07,21:24:30,Yes,N/A,N/A,Yes,5.12,5.05,No,N/A,,,
2019/03/07,22:43:55,No,No,2019p180936,No,N/A,N/A,No,N/A,,,
2019/03/07,22:57:45,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/08,00:44:49,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/08,01:06:08,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/08,01:17:33,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/08,02:06:25,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/08,03:06:01,Yes,N/A,2019p178729,Yes,4.7,4.7,No,N/A,,,
2019/03/08,04:15:05,No,No,N/A,No,,,No,N/A,,,
2019/03/08,04:51:14,No,Yes,2019p178923,Yes,4.62,4.74,No,N/A,,,
2019/03/08,05:12:05,No,Yes,2019p178962,Yes,4.7,4.73,No,N/A,,,
2019/03/08,05:23:46,No,No,N/A,No,,,No,N/A,,,
2019/03/08,05:27:25,No,Yes,2019p178991,Yes,4.4,N/A,No,N/A,,,
